name,max_temp,min_temp
actinidia,70.7,30.7
actinidia arguta,70.7,30.7
actinidia polygama,65.4,25.4
actinostachys,80,60
actinostachys pennula,80,60
adansonia,80,60
adansonia digitata,80,60
adelia,80,60
adelia ricinella,80,60
adelia vaseyi,84.8,44.8
adenanthera,80,60
adenanthera pavonina,80,60
adenocaulon,80,60
adenocaulon bicolor,80,60
adenophorus,90,50
adenophorus ×abbottiae,90,50
adenophorus abietinus,90,50
adenophorus ×carsonii,90,50
adenophorus epigaeus,90,50
adenophorus haalilioanus,90,50
adenophorus hymenophylloides,90,50
adenophorus montanus,90,50
adenophorus oahuensis,90,50
adenophorus periens,90,50
adenophorus pinnatifidus,90,50
adenophorus tamariscinus,90,50
adenophorus tripinnatifidus,90,50
adenophyllum,68.6,28.6
adenophyllum cooperi,68.6,28.6
adenophyllum porophylloides,69.9,29.9
adenophyllum porophyllum,80.3,40.3
adenophyllum wrightii,73.4,33.4
adenostemma,80,60
adenostemma lavenia,90,50
adenostemma verbesina,80,60
adenostoma,69.9,29.9
adenostoma fasciculatum,69.9,29.9
adenostoma fasciculatum var. fasciculatum,69.9,29.9
adenostoma fasciculatum var. obtusifolium,79.4,39.4
adenostoma sparsifolium,79.4,39.4
adiantum,80,60
adiantum aleuticum,80,60
adiantum anceps,90.7,50.7
adiantum capillus-veneris,80,60
adiantum caudatum,90.7,50.7
adiantum concinnum,80,60
adiantum fragile,80,60
adiantum fragile var. fragile,80,60
adiantum fragile var. rigidulum,80,60
adiantum hispidulum,86.4,46.4
adiantum jordanii,68.4,28.4
adiantum latifolium,80,60
adiantum macrophyllum,80,60
adiantum melanoleucum,80,60
adiantum obliquum,80,60
adiantum pedatum,80,60
adiantum petiolatum,80,60
adiantum pulverulentum,80,60
adiantum pyramidale,80,60
adiantum raddianum,90,50
adiantum tenerum,80,60
adiantum tetraphyllum,80,60
adiantum ×tracyi,79.4,39.4
adiantum trapeziforme,90.7,50.7
adiantum tricholepis,84.8,44.8
adiantum villosum,80,60
adiantum viridimontanum,80,60
adiantum vivesii,80,60
adiantum wilsonii,80,60
adlumia,80,60
adlumia fungosa,80,60
adolphia,84.8,44.8
adolphia californica,79.4,39.4
adolphia infesta,84.8,44.8
adonis,80,60
adonis aestivalis,68.3,28.3
adonis annua,80,60
adonis vernalis,65.4,25.4
adoxa,80,60
adoxa moschatellina,80,60
aechmea,80,60
aechmea lingulata,80,60
aechmea nudicaulis,80,60
aegilops,62,22
aegilops crassa,65.4,25.4
aegilops cylindrica,62,22
aegilops geniculata,75.1,35.1
aegilops tauschii,79.4,39.4
aegilops triuncialis,68.8,28.8
aegiphila,80,60
aegiphila elata,80,60
aegiphila integrifolia,80,60
aegiphila martinicensis,80,60
aegopodium,80,60
aegopodium podagraria,80,60
aegopogon,79.4,39.4
aegopogon cenchroides,79.4,39.4
aegopogon tenellus,80.3,40.3
aeluropus,80.3,40.3
aeluropus littoralis,80.3,40.3
aeonium,79.4,39.4
aeonium arboreum,79.4,39.4
aeonium haworthii,79.4,39.4
aerva,90,50
aerva sericea,90,50
aeschynomene,80,60
aeschynomene americana,80,60
aeschynomene evenia,80,60
aeschynomene gracilis,80,60
aeschynomene histrix,90.7,50.7
aeschynomene histrix var. incana,90.7,50.7
aeschynomene indica,80,60
aeschynomene paniculata,90,50
aeschynomene pratensis,90.7,50.7
aeschynomene rudis,80,60
aeschynomene sensitiva,80,60
aeschynomene sensitiva var. sensitiva,80,60
aeschynomene villosa,80,60
aeschynomene virginica,75.1,35.1
aeschynomene viscidula,84.8,44.8
aesculus,80,60
aesculus ×bushii,84.8,44.8
aesculus californica,79.4,39.4
aesculus ×carnea,75.6,35.6
aesculus flava,71.8,31.8
aesculus glabra,80,60
aesculus glabra var. arguta,84.8,44.8
aesculus glabra var. glabra,80,60
aesculus hippocastanum,80,60
aesculus ×hybrida,71.8,31.8
aesculus ×marylandica,77.6,37.6
aesculus ×mutabilis,77.6,37.6
aesculus ×neglecta,75.1,35.1
aesculus parviflora,82.4,42.4
aesculus pavia,80,60
aesculus pavia var. flavescens,84.8,44.8
aesculus pavia var. pavia,80,60
aesculus sylvatica,75.1,35.1
aesculus ×worlitzensis,77.6,37.6
aethusa,80,60
aethusa cynapium,80,60
agalinis,80,60
agalinis acuta,70.1,30.1
agalinis aphylla,82.4,42.4
agalinis aspera,80,60
agalinis auriculata,63.1,23.1
agalinis caddoensis,86.4,46.4
agalinis calycina,84.8,44.8
agalinis densiflora,84.8,44.8
agalinis divaricata,83.5,43.5
agalinis edwardsiana,84.8,44.8
agalinis fasciculata,80,60
agalinis filicaulis,83.4,43.4
agalinis filifolia,83.5,43.5
agalinis gattingeri,80,60
agalinis harperi,82.4,42.4
agalinis heterophylla,84.8,44.8
agalinis homalantha,84.8,44.8
agalinis laxa,82.4,42.4
agalinis linifolia,75.1,35.1
agalinis maritima,80,60
agalinis maritima var. grandiflora,75.1,35.1
agalinis maritima var. maritima,80,60
agalinis navasotensis,84.8,44.8
agalinis neoscotica,80,60
agalinis nuttallii,80.4,40.4
agalinis obtusifolia,75.1,35.1
agalinis oligophylla,84.8,44.8
agalinis paupercula,80,60
agalinis paupercula var. borealis,80,60
agalinis paupercula var. paupercula,80,60
agalinis plukenetii,77.6,37.6
agalinis pulchella,84.8,44.8
agalinis purpurea,80,60
agalinis setacea,75.1,35.1
agalinis skinneriana,80,60
agalinis strictifolia,84.8,44.8
agalinis tenuifolia,80,60
agalinis tenuifolia var. leucanthera,84.8,44.8
agalinis tenuifolia var. macrophylla,80,60
agalinis tenuifolia var. parviflora,80,60
agalinis tenuifolia var. polyphylla,83.5,43.5
agalinis tenuifolia var. tenuifolia,80,60
agalinis viridis,84.8,44.8
agapanthus,79.4,39.4
agapanthus praecox,79.4,39.4
agarista,82.4,42.4
agarista populifolia,82.4,42.4
agastache,80,60
agastache breviflora,73.4,33.4
agastache cana,84.8,44.8
agastache cusickii,68.4,28.4
agastache foeniculum,80,60
agastache mearnsii,73.4,33.4
agastache micrantha,84.8,44.8
agastache nepetoides,80,60
agastache occidentalis,68.3,28.3
agastache pallida,80.3,40.3
agastache pallidiflora,84.8,44.8
agastache pallidiflora ssp. neomexicana,84.8,44.8
agastache pallidiflora ssp. neomexicana var. havardii,84.8,44.8
agastache pallidiflora ssp. neomexicana var. neomexicana,73.4,33.4
agastache pallidiflora ssp. pallidiflora,73.4,33.4
agastache pallidiflora ssp. pallidiflora var. gilensis,73.4,33.4
agastache pallidiflora ssp. pallidiflora var. greenei,73.4,33.4
agastache pallidiflora ssp. pallidiflora var. pallidiflora,73.4,33.4
agastache parvifolia,79.4,39.4
agastache pringlei,73.4,33.4
agastache pringlei var. verticillata,73.4,33.4
agastache rupestris,73.4,33.4
agastache scrophulariifolia,80,60
agastache urticifolia,80,60
agastache urticifolia var. glaucifolia,68.4,28.4
agastache urticifolia var. urticifolia,80,60
agastache wrightii,73.4,33.4
agathis,80,60
agathis robusta,80,60
agave,80,60
agave ×ajoensis,80.3,40.3
agave americana,80,60
agave americana ssp. americana,80,60
agave americana ssp. americana var. americana,80,60
agave americana ssp. americana var. expansa,79.4,39.4
agave americana ssp. protamericana,84.8,44.8
agave ×arizonica,80.3,40.3
agave asperrima,84.8,44.8
agave chrysantha,80.3,40.3
agave decipiens,90.7,50.7
agave delamateri,80.3,40.3
agave deserti,79.4,39.4
agave deserti ssp. deserti,79.4,39.4
agave deserti ssp. simplex,79.4,39.4
agave desmettiana,90.7,50.7
agave eggersiana,80,60
agave glomeruliflora,84.8,44.8
agave gracilipes,84.8,44.8
agave havardiana,84.8,44.8
agave lechuguilla,84.8,44.8
agave missionum,80,60
agave murpheyi,80.3,40.3
agave neglecta,90.7,50.7
agave palmeri,73.4,33.4
agave parryi,84.8,44.8
agave parryi ssp. neomexicana,84.8,44.8
agave parryi ssp. parryi,84.8,44.8
agave parviflora,80.3,40.3
agave phillipsiana,80.3,40.3
agave schottii,73.4,33.4
agave schottii var. schottii,73.4,33.4
agave schottii var. treleasei,80.3,40.3
agave shawii,79.4,39.4
agave sisalana,80,60
agave toumeyana,80.3,40.3
agave toumeyana var. bella,80.3,40.3
agave toumeyana var. toumeyana,80.3,40.3
agave univittata,84.8,44.8
agave utahensis,68.6,28.6
agave utahensis var. eborispina,69.9,29.9
agave utahensis var. kaibabensis,68.6,28.6
agave utahensis var. nevadensis,69.9,29.9
agave utahensis var. utahensis,68.6,28.6
agave weberi,84.8,44.8
agdestis,80,60
agdestis clematidea,80,60
ageratina,80,60
ageratina adenophora,90,50
ageratina altissima,80,60
ageratina altissima var. altissima,80,60
ageratina altissima var. angustata,84.8,44.8
ageratina altissima var. roanensis,71.8,31.8
ageratina aromatica,71.8,31.8
ageratina aromatica var. aromatica,71.8,31.8
ageratina aromatica var. incisa,75.1,35.1
ageratina havanensis,84.8,44.8
ageratina herbacea,68.6,28.6
ageratina jucunda,83.5,43.5
ageratina lemmonii,80.3,40.3
ageratina luciae-brauniae,77.6,37.6
ageratina occidentalis,68.3,28.3
ageratina paupercula,80.3,40.3
ageratina resiniflua,80,60
ageratina riparia,90,50
ageratina rothrockii,84.8,44.8
ageratina shastensis,79.4,39.4
ageratina wrightii,84.8,44.8
ageratum,80,60
ageratum conyzoides,80,60
ageratum corymbosum,84.8,44.8
ageratum houstonianum,82.4,42.4
ageratum littorale,90.7,50.7
aglaonema,80,60
aglaonema commutatum,80,60
aglaonema commutatum var. maculatum,80,60
aglaonema pictum,80,60
agnorhiza,79.4,39.4
agnorhiza bolanderi,79.4,39.4
agnorhiza elata,79.4,39.4
agnorhiza invenusta,79.4,39.4
agnorhiza ovata,79.4,39.4
agnorhiza reticulata,79.4,39.4
agoseris,80,60
agoseris apargioides,68.3,28.3
agoseris apargioides var. apargioides,68.4,28.4
agoseris apargioides var. eastwoodiae,68.3,28.3
agoseris apargioides var. maritima,68.3,28.3
agoseris aurantiaca,80,60
agoseris aurantiaca var. aurantiaca,80,60
agoseris aurantiaca var. purpurea,62,22
agoseris elata,80,60
agoseris glauca,80,60
agoseris glauca var. agrestis,68.3,28.3
agoseris glauca var. cronquistii,68.6,28.6
agoseris glauca var. dasycephala,80,60
agoseris glauca var. glauca,80,60
agoseris glauca var. laciniata,62,22
agoseris glauca var. monticola,68.3,28.3
agoseris grandiflora,80,60
agoseris heterophylla,80,60
agoseris heterophylla var. crenulata,68.4,28.4
agoseris heterophylla var. heterophylla,80,60
agoseris heterophylla var. turgida,68.4,28.4
agoseris lackschewitzii,62,22
agoseris retrorsa,68.3,28.3
agrimonia,80,60
agrimonia eupatoria,62,22
agrimonia gryposepala,80,60
agrimonia incisa,84.8,44.8
agrimonia microcarpa,71.8,31.8
agrimonia odorata,80,60
agrimonia parviflora,80,60
agrimonia pubescens,80,60
agrimonia rostellata,63.1,23.1
agrimonia striata,80,60
×agroelymus,80,60
×agroelymus adamsii,80,60
×agroelymus bowdenii,80,60
×agropogon,68.3,28.3
×agropogon littoralis,68.3,28.3
agropyron,80,60
agropyron cristatum,80,60
agropyron cristatum ssp. pectinatum,80,60
agropyron desertorum,62,22
agropyron fragile,80,60
agrostemma,80,60
agrostemma brachyloba,65.1,25.1
agrostemma githago,80,60
agrostis,80,60
agrostis aequivalvis,80,60
agrostis avenacea,84.8,44.8
agrostis blasdalei,79.4,39.4
agrostis canina,80,60
agrostis capillaris,80,60
agrostis clavata,80,60
agrostis clivicola,79.4,39.4
agrostis clivicola var. clivicola,79.4,39.4
agrostis clivicola var. punta-reyesensis,79.4,39.4
agrostis densiflora,68.4,28.4
agrostis elliottiana,75.1,35.1
agrostis exarata,80,60
agrostis gigantea,80,60
agrostis hallii,68.3,28.3
agrostis hendersonii,68.4,28.4
agrostis hooveri,79.4,39.4
agrostis howellii,68.4,28.4
agrostis humilis,80,60
agrostis hyemalis,80,60
agrostis idahoensis,80,60
agrostis mertensii,80,60
agrostis microphylla,80,60
agrostis oregonensis,80,60
agrostis pallens,80,60
agrostis perennans,80,60
agrostis rossiae,62,22
agrostis sandwicensis,90,50
agrostis scabra,80,60
agrostis stolonifera,80,60
agrostis tandilensis,79.4,39.4
agrostis variabilis,80,60
agrostis vinealis,80,60
agrostis vinealis ssp. vinealis,46.6,6.6
ailanthus,80,60
ailanthus altissima,80,60
aiphanes,80,60
aiphanes minima,80,60
aira,80,60
aira caryophyllea,80,60
aira caryophyllea var. caryophyllea,80,60
aira caryophyllea var. cupaniana,79.4,39.4
aira elegans,68.3,28.3
aira praecox,80,60
ajuga,80,60
ajuga chamaepitys,75.1,35.1
ajuga genevensis,80,60
ajuga reptans,80,60
akebia,71.8,31.8
akebia ×pentaphylla,67.9,27.9
akebia quinata,71.8,31.8
albizia,80,60
albizia adinocephala,80,60
albizia carbonaria,80,60
albizia chinensis,90,50
albizia julibrissin,71.8,31.8
albizia lebbeck,80,60
albizia lebbekoides,90.7,50.7
albizia procera,80,60
albizia saponaria,90,50
alcea,80,60
alcea pallida,80,60
alcea rosea,80,60
alchemilla,80,60
alchemilla alpina,80,60
alchemilla filicaulis,80,60
alchemilla filicaulis ssp. filicaulis,80,60
alchemilla filicaulis ssp. vestita,80,60
alchemilla glabra,80,60
alchemilla glomerulans,80,60
alchemilla monticola,80,60
alchemilla subcrenata,80,60
alchemilla venosa,80,60
alchemilla wichurae,80,60
alchornea,80,60
alchornea latifolia,80,60
alchorneopsis,80,60
alchorneopsis floribunda,80,60
alchorneopsis portoricensis,80,60
alectra,80,60
alectra fluminensis,80,60
alectryon,90,50
alectryon macrococcus,90,50
alectryon macrococcus var. auwahiensis,90,50
alectryon macrococcus var. macrococcus,90,50
aletes,62,22
aletes acaulis,84.8,44.8
aletes anisatus,65.1,25.1
aletes filifolius,84.8,44.8
aletes humilis,62,22
aletes macdougalii,68.6,28.6
aletes macdougalii ssp. breviradiatus,68.6,28.6
aletes macdougalii ssp. macdougalii,73.4,33.4
aletes sessiliflorus,73.4,33.4
aletris,80,60
aletris aurea,75.1,35.1
aletris bracteata,83.5,43.5
aletris farinosa,80,60
aletris lutea,83.4,43.4
aletris obovata,82.4,42.4
aletris ×tottenii,83.5,43.5
aleurites,80,60
aleurites moluccana,80,60
aleurites moluccana var. katoi,80,60
alhagi,68.3,28.3
alhagi maurorum,68.3,28.3
aliciella,62,22
aliciella caespitosa,68.6,28.6
aliciella formosa,73.4,33.4
aliciella haydenii,68.6,28.6
aliciella heterostyla,69.9,29.9
aliciella hutchinsifolia,68.6,28.6
aliciella latifolia,68.6,28.6
aliciella latifolia ssp. imperialis,68.6,28.6
aliciella latifolia ssp. latifolia,68.6,28.6
aliciella leptomeria,62,22
aliciella lottiae,68.3,28.3
aliciella mcvickerae,62,22
aliciella micromeria,68.6,28.6
aliciella nyensis,69.9,29.9
aliciella penstemonoides,65.1,25.1
aliciella pinnatifida,62,22
aliciella ripleyi,69.9,29.9
aliciella sedifolia,65.1,25.1
aliciella stenothyrsa,68.6,28.6
aliciella subacaulis,62,22
aliciella subnuda,68.6,28.6
aliciella tenuis,68.6,28.6
aliciella triodon,68.6,28.6
alisma,80,60
alisma gramineum,80,60
alisma lanceolatum,68.4,28.4
alisma plantago-aquatica,68.3,28.3
alisma subcordatum,80,60
alisma triviale,80,60
allamanda,80,60
allamanda blanchetii,80,60
allamanda cathartica,80,60
allamanda schottii,80,60
allenrolfea,68.6,28.6
allenrolfea occidentalis,68.6,28.6
alliaria,80,60
alliaria petiolata,80,60
allionia,68.6,28.6
allionia choisyi,68.6,28.6
allionia incarnata,68.6,28.6
allionia incarnata var. incarnata,68.6,28.6
allionia incarnata var. nudata,69.9,29.9
